NEZG_ID,VREME_NEZ,GPS_X,GPS_Y,VRSTA_NEZ,NAZIV_TIP,NAZIV_DET,_COL8,_COL9,WGS_X,WGS_Y
1049343,"26.01.2015,13:10",7458085,4961798,Sa povredjenim,,,,,20.46473534380,44.79949903300
1049457,"31.01.2015,07:30",7459228,4963337,Sa mat.stetom,,,,,20.47905832890,44.81341522940
1053803,"16.02.2015,13:55",7462403,4962087,Sa povredjenim,,,,,20.51929174020,44.80234135630
1053805,"16.02.2015,12:05",7457516,4963024,Sa povredjenim,,,,,20.45744052780,44.81049820330
1054227,"25.02.2015,12:05",7458647,4960050,Sa mat.stetom,,,,,20.47198153370,44.78380137850
1068701,"21.04.2015,08:05",7441568,4905072,Sa povredjenim,,,,,20.26242606320,44.28784546920
1069321,"18.04.2015,22:20",7457605,4959617,Sa mat.stetom,,,,,20.45885094100,44.77984339210
1069562,"15.04.2015,11:30",7464569,4954767,Sa mat.stetom,,,,,20.54718274650,44.73657771070
1069581,"18.04.2015,14:50",7453810,4966915,Sa povredjenim,,,,,20.41023441030,44.84528228410
1069582,"18.04.2015,14:00",7452879,4962645,Sa mat.stetom,,,,,20.39885563380,44.80679533220
1069583,"22.04.2015,20:55",7462924,4959022,Sa mat.stetom,,,,,20.52610186580,44.77478600800
1069586,"19.04.2015,11:00",7461336,4953685,Sa mat.stetom,,,,,20.50644552620,44.72667220820
1069588,"19.04.2015,15:20",7455795,4961322,Sa mat.stetom,,,,,20.43583245760,44.79507676820
1069961,"14.04.2015,10:15",7445393,4948806,Sa mat.stetom,,,,,20.30571328910,44.68172326210
1070022,"22.04.2015,11:15",7449386,4962409,Sa mat.stetom,,,,,20.35472451690,44.80443159790
1070065,"22.04.2015,12:10",7451431,4967047,Sa mat.stetom,,,,,20.38012885500,44.84631144500
1070084,"22.04.2015,16:45",7462693,4962998,Sa mat.stetom,,,,,20.52289020280,44.81055494180
1070103,"23.04.2015,18:35",7458437,4962258,Sa mat.stetom,,,,,20.46914668550,44.80365931430
1051001,"09.02.2015,13:55",7457732,4962808,Sa mat.stetom,,,,,20.46018923090,44.80856726940
1052161,"19.02.2015,12:10",7457156,4960989,Sa povredjenim,,,,,20.45306168560,44.79216334640
1052222,"19.02.2015,14:20",7458054,4962917,Sa povredjenim,,,,,20.46425076170,44.80956725330
1055809,"23.02.2015,17:30",7459859,4966375,Sa povredjenim,,,,,20.48679448830,44.84079056950
1056113,"03.03.2015,10:00",7459866,4961189,Sa mat.stetom,,,,,20.48729471660,44.79412131130
1056119,"04.03.2015,08:00",7454465,4958597,Sa mat.stetom,,,,,20.41926809680,44.77047027760
1056121,"04.03.2015,19:00",7458730,4957430,Sa povredjenim,,,,,20.47324366820,44.76022825860
1056126,"04.03.2015,17:00",7463471,4958110,Sa mat.stetom,,,,,20.53307858660,44.76660696320
1056128,"04.03.2015,23:00",7455652,4956160,Sa mat.stetom,,,,,20.43447664050,44.74861422080
1056144,"02.03.2015,10:10",7461177,4961116,Sa mat.stetom,,,,,20.50386930400,44.79353718160
1056145,"02.03.2015,09:20",7462675,4963841,Sa mat.stetom,,,,,20.52260039170,44.81814033410
1070765,"22.04.2015,15:55",7458944,4957523,Sa povredjenim,,,,,20.47593917210,44.76107756290
1071118,"25.04.2015,10:40",7456169,4955521,Sa mat.stetom,,,,,20.44106068520,44.74289572520
1071121,"25.04.2015,12:30",7457357,4963421,Sa mat.stetom,,,,,20.45539699660,44.81406133340
1071122,"23.04.2015,15:00",7454715,4964430,Sa mat.stetom,,,,,20.42190479860,44.82297796340
1071123,"25.04.2015,14:15",7454208,4966358,Sa mat.stetom,,,,,20.41531936800,44.84029560900
1071124,"23.04.2015,13:25",7458573,4960847,Sa mat.stetom,,,,,20.47098126640,44.79096942390
1071125,"23.04.2015,07:20",7457693,4967097,Sa mat.stetom,,,,,20.45933720810,44.84716211430
1071152,"22.04.2015,17:05",7451803,4963930,Sa mat.stetom,,,,,20.38513160140,44.81828695970
1071522,"24.04.2015,13:00",7452948,4964064,Sa povredjenim,,,,,20.39959593890,44.81956953280
1071552,"24.04.2015,08:45",7460799,4961178,Sa mat.stetom,,,,,20.49908722140,44.79407438580
1071594,"11.04.2015,08:30",7459575,4962594,Sa povredjenim,,,,,20.48350470100,44.80674867650
1053781,"17.02.2015,19:30",7450070,4965605,Sa povredjenim,,,,,20.36305523100,44.83324062450
1054243,"25.02.2015,16:15",7452225,4964665,Sa mat.stetom,,,,,20.39039774090,44.82492971340
1054826,"26.02.2015,17:00",7456660,4953153,Sa mat.stetom,,,,,20.44746263610,44.72161556500
1054831,"25.02.2015,10:20",7452029,4961974,Sa mat.stetom,,,,,20.38817437260,44.80070015640
1055175,"26.02.2015,07:10",7461212,4961169,Sa mat.stetom,,,,,20.50430758290,44.79401605140
1055180,"26.02.2015,07:30",7459020,4962399,Sa mat.stetom,,,,,20.47650465800,44.80496205030
1055181,"26.02.2015,09:05",7456820,4961758,Sa mat.stetom,,,,,20.44874977030,44.79906336500
1055183,"26.02.2015,12:10",7462076,4963497,Sa mat.stetom,,,,,20.51505261980,44.81501286710
1055189,"26.02.2015,14:15",7460986,4966335,Sa mat.stetom,,,,,20.50105258380,44.84049345520
1055192,"27.02.2015,15:30",7460832,4961092,Sa mat.stetom,,,,,20.49951094480,44.79330227240
1071505,"25.04.2015,17:10",7459646,4962004,Sa mat.stetom,,,,,20.48444928290,44.80144319620
1071506,"25.04.2015,22:45",7456878,4963775,Sa mat.stetom,,,,,20.44931096830,44.81721811410
1071607,"28.04.2015,17:05",7458840,4960577,Sa mat.stetom,,,,,20.47437747790,44.78855514870
1071611,"28.04.2015,22:40",7459243,4962292,Sa mat.stetom,,,,,20.47933216690,44.80401196280
1071617,"28.04.2015,19:45",7461209,4961147,Sa mat.stetom,,,,,20.50427135390,44.79381790470
1071704,"28.04.2015,16:10",7456094,4963463,Sa povredjenim,,,,,20.43942565310,44.81436238930
1071720,"29.04.2015,20:30",7459645,4963970,Sa mat.stetom,,,,,20.48427977700,44.81913550670
1071818,"29.04.2015,17:00",7462089,4959881,Sa mat.stetom,,,,,20.51548796060,44.78247234560
1071824,"29.04.2015,15:50",7460859,4960272,Sa mat.stetom,,,,,20.49991557970,44.78592439630
1071828,"29.04.2015,10:25",7464171,4961083,Sa mat.stetom,,,,,20.54171091250,44.79339747700
1091022,"18.06.2015,20:54",7457323,4963771,Sa mat.stetom,,,,,20.45493761260,44.81720898380
1091062,"10.06.2015,22:30",7451378,4953891,Sa mat.stetom,,,,,20.38072042930,44.72791638810
1091066,"13.06.2015,07:40",7454167,4966356,Sa mat.stetom,,,,,20.41480096710,44.84027496630
1091551,"01.07.2015,19:15",7451440,4967082,Sa mat.stetom,,,,,20.38023933780,44.84662702360
1091588,"01.07.2015,19:00",7453567,4966327,Sa mat.stetom,,,,,20.40721463330,44.83997502430
1091688,"02.07.2015,07:20",7480198,4936628,Sa povredjenim,,,,,20.74522624550,44.57393992040
1091906,"02.07.2015,06:30",7446415,4970276,Sa mat.stetom,,,,,20.31633660940,44.87500801010
1091909,"02.07.2015,08:45",7451732,4964756,Sa mat.stetom,,,,,20.38415511180,44.82571531400
1091910,"02.07.2015,12:40",7453329,4966499,Sa mat.stetom,,,,,20.40418846380,44.84150725430
1091943,"02.07.2015,10:00",7462833,4960826,Sa mat.stetom,,,,,20.52481970320,44.79101593560
1049225,"05.01.2015,09:00",7457293,4961976,Sa mat.stetom,,,,,20.45470982360,44.80105374600
1049682,"19.01.2015,16:20",7472401,4952741,Sa mat.stetom,,,,,20.64618072150,44.71869180870
1049986,"03.02.2015,13:05",7451638,4963966,Sa povredjenim,,,,,20.38304198940,44.81859971910
1055280,"28.02.2015,20:15",7453333,4962564,Sa mat.stetom,,,,,20.40460211370,44.80609634600
1055321,"28.02.2015,14:00",7455612,4963306,Sa mat.stetom,,,,,20.43334563510,44.81291959370
1055522,"02.03.2015,11:50",7457843,4959822,Sa mat.stetom,,,,,20.46184107180,44.78170236770
1055526,"02.03.2015,14:00",7460154,4963412,Sa mat.stetom,,,,,20.49075948910,44.81414270850
1055529,"02.03.2015,15:10",7459414,4961373,Sa mat.stetom,,,,,20.48156740600,44.79575150070
1055567,"02.03.2015,17:35",7454026,4964623,Sa povredjenim,,,,,20.41317515160,44.82467053930
1074088,"06.05.2015,12:55",7456049,4963453,Sa povredjenim,,,,,20.43885759890,44.81426961700
1074106,"10.05.2015,15:00",7459691,4961632,Sa mat.stetom,,,,,20.48504771480,44.79809805230
1074183,"07.05.2015,12:45",7452177,4964542,Sa mat.stetom,,,,,20.38980241270,44.82381960820
1074362,"11.05.2015,14:00",7467350,4931397,Sa mat.stetom,,,,,20.58379243600,44.52639062880
1074363,"07.05.2015,16:35",7453778,4963196,Sa mat.stetom,,,,,20.41016958340,44.81181281500
1074525,"09.05.2015,20:10",7442204,4974177,Sa povredjenim,,,,,20.26259695180,44.90978150130
1074567,"07.05.2015,16:10",7450703,4962548,Sa mat.stetom,,,,,20.37135838990,44.80577493790
1074569,"07.05.2015,11:50",7455981,4963441,Sa mat.stetom,,,,,20.43799893880,44.81415741960
1074642,"12.05.2015,18:45",7454292,4958855,Sa mat.stetom,,,,,20.41705931580,44.77278096730
1075223,"13.05.2015,16:15",7442460,4970617,Sa povredjenim,,,,,20.26624481420,44.87776706760
1079361,"19.05.2015,15:00",7457922,4963493,Sa mat.stetom,,,,,20.46253413840,44.81474295190
1091169,"21.06.2015,10:15",7451301,4954708,Sa povredjenim,,,,,20.37967013190,44.73526342530
1091402,"01.07.2015,09:15",7459237,4961782,Sa mat.stetom,,,,,20.47929740690,44.79942203900
1091703,"02.07.2015,08:35",7479681,4937276,Sa mat.stetom,,,,,20.73869083520,44.57975723380
1091921,"02.07.2015,13:35",7453792,4966986,Sa mat.stetom,,,,,20.41000022660,44.84592004220
1092524,"27.05.2015,13:20",7454873,4955639,Sa povredjenim,,,,,20.42468544790,44.74387672820
1092527,"04.07.2015,09:00",7464038,4952839,Sa mat.stetom,,,,,20.54061495190,44.71920028690
1092534,"03.07.2015,10:20",7461095,4961606,Sa mat.stetom,,,,,20.50279529080,44.79794231470
1050043,"04.02.2015,07:00",7459861,4962149,Sa mat.stetom,,,,,20.48715538140,44.80276025350
1054228,"25.02.2015,11:45",7454746,4960075,Sa mat.stetom,,,,,20.42268606650,44.78378890920
1054229,"25.02.2015,08:45",7452817,4696189,Sa mat.stetom,,,,,20.42142905870,42.40843225450
1054233,"25.02.2015,08:00",7452036,4962809,Sa mat.stetom,,,,,20.38818375950,44.80821481920
1054234,"25.02.2015,07:35",7453626,4966786,Sa mat.stetom,,,,,20.40791875650,44.84410942160
1055190,"27.02.2015,11:30",7457354,4964175,Sa mat.stetom,,,,,20.45529548760,44.82084648700
1055191,"27.02.2015,18:40",7453251,4967340,Sa mat.stetom,,,,,20.40312405800,44.84907027630
1055248,"24.02.2015,12:10",7456624,4961872,Sa povredjenim,,,,,20.44626267900,44.80007733640
1055325,"01.03.2015,14:45",7459540,4960204,Sa mat.stetom,,,,,20.48325330820,44.78523861950
1055729,"25.02.2015,15:50",7461937,4960302,Sa mat.stetom,,,,,20.51353564920,44.78625290820
1055734,"26.02.2015,14:10",7463343,4961252,Sa mat.stetom,,,,,20.53123412200,44.79487611220
1055738,"01.03.2015,13:00",7456776,4961842,Sa mat.stetom,,,,,20.44818646420,44.79981661890
1055739,"26.02.2015,08:05",7457574,4959372,Sa mat.stetom,,,,,20.45847976080,44.77763674460
1055741,"13.02.2015,14:00",7453021,4962970,Sa mat.stetom,,,,,20.40062049400,44.80972941650
1070442,"20.04.2015,18:00",7477257,4947785,Sa povredjenim,,,,,20.70769712930,44.67426189650
1070650,"23.04.2015,15:15",7461141,4959977,Sa povredjenim,,,,,20.50350175530,44.78328509090
1070657,"23.04.2015,11:10",7455900,4961352,Sa mat.stetom,,,,,20.43715688910,44.79535326030
1070973,"24.04.2015,14:35",7459454,4960221,Sa mat.stetom,,,,,20.48216521140,44.78538670780
1070975,"24.04.2015,15:30",7461235,4957383,Sa mat.stetom,,,,,20.50488801210,44.75994614490
1071301,"26.04.2015,16:00",7460236,4964750,Sa mat.stetom,,,,,20.49169094020,44.82618818510
1042581,"01.01.2015,07:35",7459598,4957634,Sa povredjenim,,,,,20.48419112850,44.76211390370
1055423,"02.03.2015,06:00",7457012,4973386,Sa povredjenim,,,,,20.45018643900,44.90371601770
1056266,"05.03.2015,13:30",7454734,4954924,Sa mat.stetom,,,,,20.42299397090,44.73743349230
1056297,"05.03.2015,21:35",7458200,4964042,Sa mat.stetom,,,,,20.46600347570,44.81969988420
1056541,"01.03.2015,02:00",7456954,4963395,Sa povredjenim,,,,,20.45030420410,44.81380305960
1056570,"06.03.2015,15:00",7457971,4961121,Sa mat.stetom,,,,,20.46335064150,44.79339987050
1056574,"06.03.2015,17:10",7460370,4957832,Sa povredjenim,,,,,20.49392712080,44.76393916620
1056579,"06.03.2015,13:00",7460915,4959235,Sa mat.stetom,,,,,20.50070326340,44.77659526740
1056582,"05.03.2015,16:20",7458282,4963719,Sa mat.stetom,,,,,20.46706692860,44.81679798460
1056621,"04.03.2015,14:10",7458845,4960983,Sa mat.stetom,,,,,20.47440766490,44.79220910790
1071783,"30.04.2015,11:15",7454210,4960284,Sa povredjenim,,,,,20.41589428150,44.78563543450
1071786,"30.04.2015,13:15",7458882,4962617,Sa povredjenim,,,,,20.47474251710,44.80691589710
1071949,"13.04.2015,00:05",7453907,4955714,Sa povredjenim,,,,,20.41248066210,44.74448983700
1071951,"21.04.2015,00:30",7457196,4962396,Sa povredjenim,,,,,20.45344823750,44.80482754980
1072001,"02.05.2015,01:50",7457470,4963462,Sa mat.stetom,,,,,20.45682217450,44.81443706940
1072060,"26.04.2015,03:55",7459817,4962341,Sa povredjenim,,,,,20.48658395910,44.80448561010
1072127,"04.04.2015,22:15",7456745,4961614,Sa mat.stetom,,,,,20.44781411760,44.79776293100
1072130,"07.04.2015,11:30",7464821,4968041,Sa mat.stetom,,,,,20.54944111300,44.85604662470
1072132,"01.05.2015,15:50",7461694,4963531,Sa mat.stetom,,,,,20.51022041000,44.81529833710
